ACCLIVITY|오르막|sharp upslope cf.declivity|2015-03-13 오후 2:46:15
CASUALTY|재난|fatal accident|2015-03-19 오후 6:25:50
CATACLYSM|대격변|sudden violent change upheaval|2015-03-19 오후 6:26:47
CATAPULT|투석기|hurling machine|2015-03-19 오후 6:28:43
CATASTROPHE|대단원 재난|calamity|2015-03-19 오후 6:50:31
CATECHISM|교리문답서| |2015-03-19 오후 6:50:46
CATHARTIC|배변의|purgative|2015-03-19 오후 6:51:22
CATHOLIC|구교도의| |2015-03-19 오후 6:52:14
CAUSTIC|신랄한 부식성의|sarcasticaly biting|2015-03-19 오후 6:52:58
CAUTERIZE|부식시키다 마비시키다|burn with hot iron|2015-03-19 오후 6:53:55
CAVALCADE|행진 퍼레이드|procession parade|2015-03-19 오후 6:55:13
CAVIL|하찮은 반대를 하다| |2015-03-19 오후 6:55:22
CEDE|양도하다|transfer|2015-03-19 오후 6:55:30
CELESTIAL|천체의|heavenly|2015-03-19 오후 6:55:46
CELIBATE|미혼의 성교를 삼가는| |2015-03-19 오후 6:55:56
CENSOR|검열관|overseer of morals|2015-03-19 오후 6:56:20
CENSURE|비난하다|blame criticize|2015-03-19 오후 6:56:29
CENTAUR|켄타로우스|half man and horse|2015-03-19 오후 6:56:52
CENTIGRADE|온도 섭씨| |2015-03-19 오후 6:57:15
CENTRIFUGAL|원심력을 이용한,지방분권적인|departi from center|2015-03-19 오후 6:58:01
CENTURION|로마군경|roman army officer 백부장|2015-03-19 오후 6:58:27
CEREBRAL|대뇌의 지적인|pertaining to brain 대뇌에 속하는|2015-03-19 오후 6:59:54
CEREBRATION|사고생각|thought|2015-03-19 오후 7:08:48
CESSATION|중지 중단|stopping|2015-03-19 오후 7:10:47
CESSION|양도 할양|ceding|2015-03-19 오후 7:11:54
CHAFE|쓸려서 벗어지다 아프다 마찰|warm by rubbing|2015-03-19 오후 7:18:16
CHAFFING|놀리다 희롱하다|bantering joking|2015-03-19 오후 7:18:44
CHAGRIN|성냄 실망|vexation|2015-03-19 오후 7:18:55
CHALICE|술잔|goblet|2015-03-19 오후 7:19:09
CHAMELEON|카멜레온|a kinda lizard|2015-03-19 오후 7:19:31
CHAMP|소리내서 씹다|chew noisily|2015-03-19 오후 7:20:04
CHAOTIC|혼돈의|in utter disorder|2015-03-19 오후 7:20:27
UTTER|완전히 전적인| |2015-03-19 오후 7:20:32
CHARISMA|카리스마|divine gift charm|2015-03-19 오후 7:20:53
CHARLATAN|돌팔이|quack|2015-03-19 오후 7:21:47
CHARY|신중한 인색한|cautiously watchful|2015-03-19 오후 7:22:28
CHASM|간격 빈틈 심연|abyss|2015-03-19 오후 7:23:04
CHASSIS|차대,여성의 아름다운 몸매|framework of auto|2015-03-19 오후 7:24:06
CHASTE|정숙한 순결한|pure|2015-03-19 오후 7:25:03
CHASTISE|벌주다|punish|2015-03-19 오후 7:26:26
CHATTEL|동산 사유물|personal property|2015-03-19 오후 7:27:55
CHAUVINIST|맹목적 애국자| |2015-03-19 오후 7:28:17
CHECKERED|변화가 풍부한| |2015-03-19 오후 7:28:27
CHICANERY|속임수|trickery|2015-03-19 오후 7:29:04
CHIDE|꾸짖다|scold|2015-03-19 오후 7:29:24
CHIMERICAL|환상적인|fantastic|2015-03-19 오후 7:29:36
CHIROPODIST|손발치료전문의사|m.d. of feet|2015-03-19 오후 7:30:06
CHOLERIC|성마른|hot-tempered|2015-03-19 오후 7:30:46
CHRONIC|만성병의| |2015-03-19 오후 7:31:08
CHURLISH|매너없는|rude boorish|2015-03-19 오후 7:31:34
CILIATED|속눈썹이있는|having minute hairs|2015-03-19 오후 7:32:13
CIRCLET|작은 원 헤드밴드|small ring band|2015-03-19 오후 7:32:58
CIRCUITOUS|에두르는 완곡한|aroundabout|2015-03-19 오후 7:33:26
CIRCUMSCRIBE|둘레에 선을 긋다|limit confine|2015-03-19 오후 7:34:15
CIRCUMSPECT|신중한 용의 주도한|prudent cautious|2015-03-19 오후 7:34:47
CIRCUMVENT|선수치다 에워싸다 함정에빠뜨리다|outwit baffle|2015-03-19 오후 7:36:21
CITADEL|요새|fortress|2015-03-19 오후 7:37:22
CITE|인용하다|quote commend|2015-03-19 오후 7:37:57
CLAIRVOYANT|투시력있는 통찰력있는|fortuneteller|2015-03-19 오후 7:38:31
CLAMBER|기어오르다|climb by crawling|2015-03-19 오후 7:38:59
CLANDESTINE|은밀한|secret|2015-03-19 오후 7:39:08
CLARION|트럼펫같은 소리|trumpet-like sound|2015-03-19 오후 7:39:33
CLAUSTROPHOBIA|밀실공포증| |2015-03-19 오후 7:39:43
CLAVICLE|쇄골|collarbone|2015-03-19 오후 7:40:26
CLEAVE|쪼개어 가르다 분열시키다 주장따위를 고수하다|split asunder|2015-03-19 오후 7:53:19
ASUNDER|산산이 흩어져| |2015-03-19 오후 7:53:27
CLEFT|나누다|split|2015-03-19 오후 7:53:40
CLEMENCY|온화한|mildness|2015-03-19 오후 7:53:49
CLICHE|상투어구| |2015-03-19 오후 7:53:52
CLIMATIC|클라이막스와 관련된|relating to climax|2015-03-19 오후 7:54:07
CLIQUE|배타적그룹|exclusive group|2015-03-19 오후 7:54:21
CLOISTER|수도원| |2015-03-19 오후 7:54:44
CONVENT|특히 수녀원| |2015-03-19 오후 7:55:15
COADJUTOR|조력자|assistant |2015-03-19 오후 7:55:46
COALESCE|부러진 뼈가 병합하다 연합하다 합동하다|combine,fuse|2015-03-19 오후 11:30:19
COCKADE|꽃모양의 모표|decoration on hat|2015-03-19 오후 11:31:17
COERCE|강제하다|force|2015-03-19 오후 11:31:29
COG|톱니바퀴의 이|wheel tooth|2015-03-19 오후 11:32:07
COGENT|설득력있는|convincing|2015-03-19 오후 11:32:41
COGITATE|다시 생각하다|think over|2015-03-19 오후 11:33:01
COGNIZANCE|인식|knowledge|2015-03-19 오후 11:33:20
COGNOMEN|가족 성|family name|2015-03-19 오후 11:33:47
COHERE|밀착하다 응집하다|stick together|2015-03-19 오후 11:35:32
COHESION|응집력| |2015-03-19 오후 11:35:40
COHORT|지지자 군세 무리| |2015-03-19 오후 11:37:26
COINCIDENT|동시에 일어나는| |2015-03-19 오후 11:37:51
COLLABORATE|협동하다| |2015-03-19 오후 11:38:07
COLLATE|맞추어보다 대조하다|compare critically|2015-03-19 오후 11:38:45
COLLATERAL|담보로한|security for loan|2015-03-19 오후 11:39:56
COLLATION|대조, 가벼운 식사|a light meal|2015-03-19 오후 11:55:23
COLLIER|석탄 광산의 노동자| |2015-03-19 오후 11:56:03
COLLOQUY|대화 대담|informal discussion|2015-03-19 오후 11:57:03
COLLUSION|사기적 획책의 공모| |2015-03-19 오후 11:57:36
COLOSSAL|거대한|huge|2015-03-19 오후 11:57:43
COMBUSTIBLE|잘 타는|easily burned|2015-03-19 오후 11:58:04
COMELY|매력적인|attractive|2015-03-19 오후 11:58:23
COMESTIBLE|먹기에 적합한것| |2015-03-19 오후 11:58:58
COMITY|우의 예의|courtesy,civility|2015-03-20 오전 12:07:24
COMMANDEER|군사목적으로 징발하다| |2015-03-20 오전 12:48:35
COMMENSURATE|같은 양의|equal in extent|2015-03-20 오전 12:49:28
COMMISERATE|동정을 느끼다|feel sympathy for|2015-03-20 오전 12:50:59
COMMODIOUS|공간이 넓은 편한한|spacious comfortable|2015-03-20 오전 12:52:31
COMPACT|계약하다,계약|agreement contract|2015-03-20 오전 12:53:30
COMPATIBLE|조화로운|harmonious|2015-03-20 오전 12:54:23
COMPILATION|자료를책으로 엮는것| |2015-03-20 오전 12:54:35
COMPLACENT|자기만족한|self-satisfied|2015-03-20 오전 12:55:12
COMPLAISANT|사근사근한 공손한 고분고분한|trying to please|2015-03-20 오전 12:58:21
COMPLEMENT|보완물|that which completes|2015-03-20 오전 12:59:38
COMPLIANT|유순한|yielding|2015-03-20 오전 7:04:56
COMPORT|처신하다 행동하다|bear oneself behave|2015-03-20 오전 7:07:56
COMPUNCTION|후회하다|remorse|2015-03-20 오전 7:10:51
COMPUTE|계산하다|reckon calculate|2015-03-20 오전 7:18:27
CONCATENATE|사슬같이 잇다 사건따위를 연결시키다|link as in chain|2015-03-20 오전 7:21:30
RECKON|세다 합산하다 간주하다| |2015-03-20 오전 7:28:19
CONCENTRIC|동심의|having one center|2015-03-20 오전 7:29:36
CONCEPTION|개념 구상|forming an idea|2015-03-20 오전 7:30:27
CONCILIATE|달래다 무마하다|pacify, win over|2015-03-20 오전 7:31:29
CONCISE|간결한|brief and compact|2015-03-20 오전 7:32:42
CONCLAVE|비밀 회의|private meeting|2015-03-20 오전 7:33:33
CANDOR|솔직함|frankness|2015-03-20 오전 7:33:55
CONCOCT|음료따위를 조합하다 이야ㅣ따위 조작하다 날조하다|prepare by combining|2015-03-20 오전 7:36:16
CONCOMITANT|부수물| |2015-03-20 오전 7:36:47
CONCURRENT|한번에 일어나다|happening at once|2015-03-20 오전 7:37:57
CONDESCEND|(우월하게)친절히하다| |2015-03-20 오전 7:39:56
CONDIGN|적절한|adequate|2015-03-20 오전 7:40:43
CONDIMENTS|양념|seasonings spices|2015-03-20 오전 7:41:40
CONDOLE|슬픔을 표하다|express sorrow|2015-03-20 오전 7:42:28
CONDONE|죄 과실들을 용서하다 너그럽게 봐주다|overlook forgive|2015-03-20 오전 7:43:19
CONFISCATE|몰수 압수하다|seize, commandeer|2015-03-20 오전 7:44:03
CONFORMITY|적합 일치 준거 순응주의|harmony agreement|2015-03-20 오전 7:46:24
CONGEAL|얼리다 응결시키다 생기를 잃(게하)다|freeze coagulate|2015-03-20 오전 7:47:23
COAGULATE|응고시키다 굳어지다| |2015-03-20 오전 7:47:37
CONGENITAL|선천적으로 있는|existing at birth|2015-03-20 오전 7:48:47
CONGLOMERATION|집적 응괴 기업병합| |2015-03-20 오전 7:49:26
CONGRUENCE|부분적 일치 조화관계| |2015-03-20 오전 7:49:59
CONIFER|침엽수|pine tree|2015-03-20 오전 7:50:24
CONJUGAL|부부간의|pertaining to marriage|2015-03-20 오전 7:51:30
CONNIVANCE|묵허 묵과 간과|passive cooperation|2015-03-20 오전 7:53:49
CONNOISSEUR|미술 감식가,통달자|a lover of an art|2015-03-20 오전 7:54:58
CONNOTATION|숨은 의미 함축 내포의미|hidden meaning cf)denotation|2015-03-20 오전 7:55:37
CONNUBIAL|혼인간의|conjugal|2015-03-20 오전 7:56:03
CONSANGUINITY|혈족|kinship|2015-03-20 오전 7:57:06
CONSECRATE|신성스러워하다|dedicate sanctify|2015-03-20 오전 7:58:25
CONSENSUS|만장일치|general agreement|2015-03-20 오전 7:59:16
CONSORT|연관짓다|associate with|2015-03-20 오전 7:59:25
CONSTRAINT|강제 압박 구속하다|restraint|2015-03-20 오전 8:10:31
CONSTRUE|설명 해석하다|explain interpret|2015-03-20 오전 8:11:07
CONSUMMATE|완성하다 성취하다|complete|2015-03-20 오전 8:13:28
CONTAMINATE|오염시키다|pollute|2015-03-20 오전 8:13:38
CONTEMN|경멸하다 업신여기다|despise|2015-03-20 오전 8:14:15
CONTENTIOUS|다투기 좋아하는 논쟁적인|quarrelsome|2015-03-20 오전 8:15:00
CONTEXT|문맥| |2015-03-20 오전 8:15:10
CONTIGUOUS|인접한|adjacent to|2015-03-20 오전 8:16:04
CONTERMINOUS|상접한 인접한| |2015-03-20 오전 8:16:22
CHASTITY|정숙 순결| |2015-03-20 오전 8:20:24
CONTINGENT|우발적인 조건으로 하는|conditional|2015-03-20 오전 8:23:51
CONTORTION|뒤틈 뒤틀림 왜곡 곡해|twisting distortion|2015-03-20 오전 8:25:15
CONTRABAND|밀수하다|illegal trade|2015-03-20 오전 8:26:27
CONTRAVENE|위반하다 모순되다|contradict|2015-03-20 오전 8:27:25
CONTRITE|참회하는|penitant|2015-03-20 오전 8:27:59
CONTROVERT|논의하다 의견에 반대하다|oppose with argument|2015-03-20 오전 8:30:01
CONTUMACIOUS|반항적인 소환에 응하지 않는|disobedient|2015-03-20 오전 8:31:57
CONTUMELY|언어 따위의 오만 무례 모욕적 언동|scornful insolence|2015-03-20 오전 9:01:29
SCORNFUL|경멸하는 비웃는| |2015-03-20 오전 9:02:00
INSOLENCE|오만 무례| |2015-03-20 오전 9:02:26
CONTUSION|타박상|bruise|2015-03-20 오전 9:02:40
CONVENE|모으다 소집하다|assemble|2015-03-20 오전 9:03:23
CONVERSANT|정통하고 있는 친교가 있는|familiar with|2015-03-20 오전 9:06:21
CONVEYANCE|이동수단|vehicle transfer|2015-03-20 오전 9:06:51
CONVIVIAL|흥겨운|festive gay|2015-03-20 오전 9:07:07
CONVOKE|소집하다|call together|2015-03-20 오전 9:07:24
COPIOUS|많은|plentiful|2015-03-20 오전 9:07:43
COQUETTE|교태부리는여자 요부|flirt|2015-03-20 오전 9:08:35
CORNICE|쇠시리 모양의 장식| |2015-03-20 오전 9:16:24
CORPOREAL|육체상의|bodily material|2015-03-20 오전 9:17:14
CORPULENT|매우 뚱뚱한|very fat|2015-03-20 오전 9:17:32
CORROBORATE|확증하다 확인하다|confirm|2015-03-20 오전 9:18:19
CORROSIVE|부식성의| |2015-03-20 오전 9:18:41
CORSAIR|해적 해적선|pirate(ship)|2015-03-20 오전 9:19:22
CORTEGE|수행원 행렬 장례행렬|procession|2015-03-20 오전 9:20:18
COSMIC|우주의|universal vast|2015-03-20 오전 9:20:36
COTERIE|한괘 동아리 동인그룹|select circle|2015-03-20 오전 9:21:17
COUNTERMAND|취소|cancel revoke|2015-03-20 오전 9:21:32
COUNTERPART|상대적 개념| |2015-03-20 오전 9:21:42
COVENANT|계약 서약 맹약|agreement|2015-03-20 오전 9:22:16
COVERT|숨은|secret hidden|2015-03-20 오전 9:22:29
COVETOUS|탐내는 탐욕스러운 열망스러운|avaricious|2015-03-20 오전 9:23:14
COWER|움츠러들다 곱송그리다 웅크리다 위축되다|shrink quivering|2015-03-20 오전 9:24:05
COY|부끄러워하는|shy coquettish|2015-03-20 오전 9:24:36
CRABBED|떫은 심술궂은 까다로운|sour peevish|2015-03-20 오전 9:25:55
CRASS|아둔한 우둔한 매우 어리석은|very unrefined|2015-03-20 오전 9:31:58
CRAVEN|겁쟁이 소심한 비겁자|cowardly(adj)|2015-03-20 오전 9:33:35
CREDENCE|신용|belief|2015-03-20 오전 9:34:09
CREDULITY|쉽사리 믿음 우직함|readiness to believe|2015-03-20 오전 9:35:00
CREED|교의 신조 신념|system of belief|2015-03-20 오전 9:36:00
CRESTFALLEN|볏이처진 머리를 푹숙인 맥빠진|dejected dispirited|2015-03-20 오전 9:37:09
CREVICE|갈라진틈 균열|crack fissure|2015-03-20 오전 9:41:04
CRITERION|평가기준|standard in judging|2015-03-20 오전 9:41:42
CRONE|노파|hag|2015-03-20 오전 9:41:53
CRUX|중요점 등반에서 가장 어려운곳|crucial point|2015-03-20 오전 9:43:48
CRYPTIC|미스테리의 숨은 신비의 은밀하게|mysterious hidden|2015-03-20 오전 9:45:30
CUISINE|요리방식|style of cooking|2015-03-20 오전 9:46:07
CULINARY|요리에 관련된|relating to cooking|2015-03-20 오전 9:49:33
CULL|꽃을따다 따모으다 가려내다|pick out reject|2015-03-20 오전 9:54:12
CULMINATION|절정에 이름| |2015-03-20 오전 9:54:58
CULPABLE|과실있는 비난받을만한|deserving blame|2015-03-20 오전 9:55:26
CUPIDITY|탐욕|greed|2015-03-20 오전 9:55:33
CURRY|빗질하다 다듬다|dress,seek favor|2015-03-20 오전 9:56:32
CURSORY|몹시 서두른 조잡한 엉성한|casual,hastily done|2015-03-20 오전 9:58:11
CURTAIL|줄이다|shorten,reduce|2015-03-20 오전 9:58:22
CYNIC|인간적 동기의 불신자 냉소하는사람| |2015-03-20 오전 9:59:05
DAIS|높은 단상, 귀빈석| |2015-03-20 오전 9:59:13
DALLY|희롱하다 농탕치다 가지고 놀다 장난하다 낭비하다|trifle with|2015-03-20 오전 9:59:45
TRIFLE|하찮은것 소량 가지고놀다 만지작거리다|trifle with|2015-03-20 오전 10:00:10
DANK|물이 스며나는 축축한 몹시습한|damp|2015-03-20 오전 10:00:40
DASTARD|비겁자|coward|2015-03-20 오전 10:01:11
DAUNT|위협하다|intimidate 기세를 꺾다|2015-03-20 오전 10:02:33
DAUNTLESS|겁없는|bold|2015-03-20 오전 10:03:49
DAWDLE|시간낭비|loiter waste of time|2015-03-20 오전 11:16:30
LOITER|빈둥거리다| |2015-03-20 오전 11:16:36
DEARTH|빈곤 부족|scarcity|2015-03-20 오전 11:17:26
DEBASE|품위를 떨어뜨리다| |2015-03-20 오전 11:17:51
DEBILITATE|약화하다|weaken enfeeble|2015-03-20 오전 11:20:00
DEBAUCH|여자를 유혹하다 주색에 빠지다|corrupt seduce|2015-03-20 오전 11:20:41
DEBONAIR|쾌활한 활기찬 명랑한|suave genial affable|2015-03-20 오전 11:21:28
SUAVE|기분좋은 유쾌한| |2015-03-20 오전 11:21:43
DEBUTANTE|사교계에 처음나온 여자| |2015-03-20 오전 11:21:55
DECANT|가만히 따르다|pour off gently|2015-03-20 오전 11:23:05
DECADENCE|썩다|decay|2015-03-20 오전 11:35:56
DECIDUOUS|낙엽처럼떨어지는| |2015-03-20 오전 11:38:14
DECLIVITY|내리막|downward slope|2015-03-20 오전 11:38:46
DECOROUS|예의바른 점잖은|proper|2015-03-20 오전 11:45:59
DECOY|유혹하다 유인하는 장치 미끼|lure bait|2015-03-20 오전 11:47:12
DECREPIT|낡아빠지다|worn out by age|2015-03-20 오전 11:47:26
DECRY|공공연히 비난하다 중상하다|disparage|2015-03-20 오전 11:48:11
DEDUCIBLE|추론을통해얻을수있는|derived by reasoning|2015-03-20 오전 11:50:02
DEFALCATE|횡령하다| |2015-03-20 오후 12:29:39
DEFAMATION|명예훼손| |2015-03-20 오후 12:39:11
DEFAULT|불이행|failure to act|2015-03-20 오후 12:40:21
DEFEATIST|패배주의자| |2015-03-20 오후 12:40:37
DEFECTION|탈퇴|desertion|2015-03-20 오후 12:41:03
DEFERENCE|경의 존중| |2015-03-20 오후 12:47:32
DEFILE|오염시키다|pollute profane|2015-03-20 오후 12:47:49
DEFINITIVE|최종의 완전한|final,complete|2015-03-20 오후 12:49:18
DEFLECT|비평 공격등을 피하다|turn aside|2015-03-20 오후 12:50:13
DEFUNCT|죽은 더이상 안쓰는|dead no longer in use|2015-03-20 오후 12:51:29
DEIGN|황송하게도 하시다|condescend|2015-03-20 오후 12:52:12
DELETE|지우다|strike out|2015-03-20 오후 12:52:40
DELETERIOUS|유독한|harmful|2015-03-20 오후 12:53:51
DELINEATION|선을따서 그리다|potrayal|2015-03-20 오후 1:08:56
DELIRIUM|정신착란| |2015-03-20 오후 1:54:44
DELUDE|속이다|deceive|2015-03-20 오후 1:55:44
DELUSIVE|속이는 기만하는|deceptive|2015-03-20 오후 1:58:00
DEMAGOGUE|민중을 선동하는자|거짓민중지도자|2015-03-20 오후 1:58:57
DEMEAN|품위를 떨어뜨리다 천하게 하다|degrade|2015-03-20 오후 1:59:38
DEMEANOR|행동|behavior|2015-03-20 오후 1:59:50
DEMISE|죽음|death|2015-03-20 오후 1:59:56
DEMOLITION|파괴|destruction|2015-03-20 오후 2:00:04
DEMONIAC|악마같은|fiendish|2015-03-20 오후 2:00:10
DEMUR|지체되다|delay object|2015-03-20 오후 2:00:19
DEMURE|심각한|serious,coy|2015-03-20 오후 2:00:29
DENIZEN|거주자|inhabitant|2015-03-20 오후 2:00:42
DEPICT|묘사하다|portray|2015-03-20 오후 2:00:54
DEPILATE|제모하다|remove hair|2015-03-20 오후 2:01:03
DEPLETE|고갈하다|reduce exhaust|2015-03-20 오후 2:01:11
DEPLOY|군대를 전개시키다| |2015-03-20 오후 2:01:17
DEPOSITION|면직 파면 선서증언|testimony under oath|2015-03-20 오후 4:57:38
DEPRAVITY|악행 비행|corruption, wickedness|2015-03-20 오후 4:59:36
DEPRECATE|개탄스럽게 반대하다| |2015-03-20 오후 4:59:48
DEPRECATORY|불찬성의 비난의 변명의 사죄의|disapproving|2015-03-20 오후 5:01:25
DEPRECIATE|화폐를 평가 절하하다 물품의 시장 가치를 떨어트리다 경시하다 얕보다|lessen in value|2015-03-20 오후 5:02:31
DEPREDATION|약탈 침식|plundering|2015-03-20 오후 5:03:04
DERANGED|미친|insane|2015-03-20 오후 5:03:13
DERELICT|유기된|abandoned|2015-03-20 오후 5:04:15
DERIDE|조소하다|scoff at,mock|2015-03-20 오후 5:04:31
DERISION|비웃다|ridicule|2015-03-20 오후 5:04:37
DERMATOLOGIST|피부과 의사|m.d. for skin|2015-03-20 오후 5:04:55
DEROGATORY|말의 품위가 떨어지는| |2015-03-20 오후 5:05:02
DESCANT|상세히 설명하다|discuss fully|2015-03-20 오후 5:05:46
DESCRY|발견하다|catch sight of|2015-03-20 오후 5:06:26
DESECRATE|신성모독하다|profane|2015-03-20 오후 5:06:50
DESICCATE|건조시키다|dry up|2015-03-20 오후 5:07:06
DESPICABLE|비열한|contemptible|2015-03-20 오후 5:08:38
DESPISE|비난하다|scorn|2015-03-20 오후 5:08:50
DESPOIL|탈취하다 약탈하다|plunder|2015-03-20 오후 5:09:05
DESPOTISM|전제정치|tyranny|2015-03-20 오후 5:09:24
DESTITUTE|매우 빈곤한|extremely poor|2015-03-20 오후 5:09:39
DESUETUDE|불용상태|disused condition|2015-03-20 오후 5:10:01
DESULTORY|산만한 탈선의|aimless|2015-03-20 오후 5:10:22
DETERGENT|세제|cleansing agent|2015-03-20 오후 5:39:36
DETONATION|폭발|explosion|2015-03-20 오후 5:41:53
DETRACTION|욕 비난 훼손 감손|slandering aspersion|2015-03-20 오후 5:42:40
